city,state,lat,lon,signal_count,unrest_score
Los Angeles,CA,34.1141,-118.4068,31,80.2
Seattle,WA,47.6211,-122.3244,8,11.0
Portland,OR,45.5371,-122.65,6,5.23
Chicago,IL,41.8375,-87.6866,6,3.8
New York,NY,40.6943,-73.9249,3,3.22
San Francisco,CA,37.7558,-122.4449,1,2.7
Glendale,AZ,33.5791,-112.2311,1,2.7
Hollywood,FL,26.0293,-80.1679,1,2.7
Standing Rock,AL,33.0863,-85.2449,1,2.7
Ashland,CA,37.6942,-122.1159,1,1.8
Temple,TX,31.1068,-97.3891,1,1.8
Wallingford,IA,43.3203,-94.7922,1,1.8
Man,WV,37.7522,-81.8923,1,0.9
University,FL,28.0771,-82.4335,1,0.54
Worcester,MA,42.2705,-71.8079,1,0.36
