platform,title,summary,date,url,source,city,state,lat,lon,county,confidence
news,WATCH: Trump says people who protest military parade ‘will be met with very heavy force’ - PBS,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNMmFNc1lWeFFQV1R2azNmNXhFXzZUSVJhMUxxYTIydEJEZDFMQi1EUjc5OXRaMmgxQTVQWXVPYUZFdzRvMDBqUmUwa2xlN1pVTklFaFE5eUNuWm9wUXg0Y21WNlBDWVVvVFh0RFo5WnlWQmh0b3V6STFsXzhQMmVCUnFGZ0dNRnVMSV9pQ1VuaUgwMkNUNUpPMVFzdzJDcmE2SFlBSHQ1elZoVVhIR3hrTmROQlRHaWhJU3NGZmQ0d3PSAcYBQVVfeXFMUG13SFNEY2lrcklZZGFGbGg2Q2k4VVk2R0ltNDRrOTRaZHkzb2xVdm91ZU1oVEVueFBFbGJBOG1PVW5fVzFqUHdoMGE1dk1rWnhKOTdWaEJsRW0xa3podHRmLURYdGRGc3ZEUW54cHh3MDQ5UjhVdjg0XzFmMFBDRjVSdVZKMXlvWUpablJZM1pydWZYXzVqSlpRSFo4dTM5azVNeS10b052Wjgya2dzby1jbVN4LVp0QXlaQmZrX1c5RUFpalVn?oc=5"" target=""_blank"">WATCH: Trump says people who protest military parade ‘will be met with very heavy force’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>","Tue, 10 Jun 2025 21:44:23 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNMmFNc1lWeFFQV1R2azNmNXhFXzZUSVJhMUxxYTIydEJEZDFMQi1EUjc5OXRaMmgxQTVQWXVPYUZFdzRvMDBqUmUwa2xlN1pVTklFaFE5eUNuWm9wUXg0Y21WNlBDWVVvVFh0RFo5WnlWQmh0b3V6STFsXzhQMmVCUnFGZ0dNRnVMSV9pQ1VuaUgwMkNUNUpPMVFzdzJDcmE2SFlBSHQ1elZoVVhIR3hrTmROQlRHaWhJU3NGZmQ0d3PSAcYBQVVfeXFMUG13SFNEY2lrcklZZGFGbGg2Q2k4VVk2R0ltNDRrOTRaZHkzb2xVdm91ZU1oVEVueFBFbGJBOG1PVW5fVzFqUHdoMGE1dk1rWnhKOTdWaEJsRW0xa3podHRmLURYdGRGc3ZEUW54cHh3MDQ5UjhVdjg0XzFmMFBDRjVSdVZKMXlvWUpablJZM1pydWZYXzVqSlpRSFo4dTM5azVNeS10b052Wjgya2dzby1jbVN4LVp0QXlaQmZrX1c5RUFpalVn?oc=5,PBS,,,,,,0.3
news,LA protest live updates: Judge rejects Newsom's request to intervene against Trump - ABC News,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQTndrZzFvS3lmeG81UzBSR3lMd0UwV3QzXzhYbDdiMG5FeUZJRml5QmVxWWxnQ21KNmpqVV9aYmJMZTcxUkY1TDJGa0k2UzJkcklJeEVLR3BJQnNjWi1uU0FtUFFPc2M0Ymp2SFZSbTdaUGpTcjJ2X1J0cnhGWjY1QmI2dGkxSWJfRXdHc19fdmlENEdsTDF3X0JXQnpGdFlxOTJ6cEpzd3E3a3ZT?oc=5"" target=""_blank"">LA protest live updates: Judge rejects Newsom's request to intervene against Trump</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font>","Tue, 10 Jun 2025 23:30:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxQTndrZzFvS3lmeG81UzBSR3lMd0UwV3QzXzhYbDdiMG5FeUZJRml5QmVxWWxnQ21KNmpqVV9aYmJMZTcxUkY1TDJGa0k2UzJkcklJeEVLR3BJQnNjWi1uU0FtUFFPc2M0Ymp2SFZSbTdaUGpTcjJ2X1J0cnhGWjY1QmI2dGkxSWJfRXdHc19fdmlENEdsTDF3X0JXQnpGdFlxOTJ6cEpzd3E3a3ZT?oc=5,ABC News,,,,,,0.3
news,Live updates: Curfew declared in downtown LA after looting and vandalism - NBC Los Angeles,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNM1Nfd1IwMkxkYmk1djM5ejZ1RmxPMUJQQ1ZlZmY2b1pwRFhzSkwyMU12MXVaZWowNW5tcmh2WXFZNFY3QkxnQ0dsZl94cGZueFM3SUpXRFdnRDZ0RVB5M2RBbm5BV0ZBazY5VHA1U2JUUmp5WHotenZMTDFJQllzb1c5T09xc0wtczhmOVdiSWJTSjJUaDRoOGNBd1pEZW8yOEg2TWp6RFN0aG1zcUJBMVdDeHcxc0Z0WU9LVkllX2FkTVV4dXBsNWoxdTdEbHIwOUc0aFg5emJBd9IB4gFBVV95cUxNVlRTaUdNZWRnRmFydGhEUzJNazRyaUNYZ19WN2dpOG93TlVja29kanZmTG1vcG9OWUdzaEQ1TXVRUDJLZVgxRzZNcmRwS1JHRWY0RDc1Y25WSmtMR3d5YjRFYk80WlJhaVl1aUNZOS1INnVIcnZqOEVhc04xWi1RSzVQTGlqUmFodzJDYVhwVWdkY0tUMWhGUnlMb3BDSlFmb2JlQkdpVkZrVmI1VmtPaVg1UHJfdnBERTQwMGlmWFRwaFpXaE1aSkFGMjVha0Rnczk1bDBZR0JjWVJCVW9vVllR?oc=5"" target=""_blank"">Live updates: Curfew declared in downtown LA after looting and vandalism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC Los Angeles</font>","Wed, 11 Jun 2025 01:54:00 GMT",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNM1Nfd1IwMkxkYmk1djM5ejZ1RmxPMUJQQ1ZlZmY2b1pwRFhzSkwyMU12MXVaZWowNW5tcmh2WXFZNFY3QkxnQ0dsZl94cGZueFM3SUpXRFdnRDZ0RVB5M2RBbm5BV0ZBazY5VHA1U2JUUmp5WHotenZMTDFJQllzb1c5T09xc0wtczhmOVdiSWJTSjJUaDRoOGNBd1pEZW8yOEg2TWp6RFN0aG1zcUJBMVdDeHcxc0Z0WU9LVkllX2FkTVV4dXBsNWoxdTdEbHIwOUc0aFg5emJBd9IB4gFBVV95cUxNVlRTaUdNZWRnRmFydGhEUzJNazRyaUNYZ19WN2dpOG93TlVja29kanZmTG1vcG9OWUdzaEQ1TXVRUDJLZVgxRzZNcmRwS1JHRWY0RDc1Y25WSmtMR3d5YjRFYk80WlJhaVl1aUNZOS1INnVIcnZqOEVhc04xWi1RSzVQTGlqUmFodzJDYVhwVWdkY0tUMWhGUnlMb3BDSlFmb2JlQkdpVkZrVmI1VmtPaVg1UHJfdnBERTQwMGlmWFRwaFpXaE1aSkFGMjVha0Rnczk1bDBZR0JjWVJCVW9vVllR?oc=5,NBC Los Angeles,Los Angeles,CA,34.1141,-118.4068,Los Angeles,0.9
news,Rallyers in Denver demonstrating against ICE arrests march down the middle of a city street - CBS News,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPNjJzQmZ3SmZXTXE5Q0JzQXl2QWNrZWVSbVNrRzZkZUpDcmthV0VfZzFSWG1aMUxqLVZmY09BTzRtSmNvai0ybXpaUTJacUJVQm9CT01JcnliNXphbnV5dWVfYXRfaE9EUTN3dU5rbGd5YTAzX3pYY1U0UWR0YWc4QUdJT1dYZmdBeVdpdTJyLVg4a3JiZDluMTZMYi0yMlk1M09VdWQxYmd1ZkVJ0gGyAUFVX3lxTE5lSzZWN1pFZTU2WU43M29USnFwM3c5V0RVSkR5WDU4ZXNhalZKYVlUdDdsaGUyY3FrTG93eGNpazdRMkRsLTM2U0kwYTcxbVU5VnNsRUNxLVk4SVdCX0ItRGNnOVN5Y2ozeXNQSTZ2OFVqRUtKbkdobk11OVIyTDd2WE1mc3dRX2xkMzFJTjREU0FqS2JWaVpTMF9YdWVhWkV6SDlzOWM4U2VYV0drZUhNeXc?oc=5"" target=""_blank"">Rallyers in Denver demonstrating against ICE arrests march down the middle of a city street</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font>","Wed, 11 Jun 2025 00:54:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxPNjJzQmZ3SmZXTXE5Q0JzQXl2QWNrZWVSbVNrRzZkZUpDcmthV0VfZzFSWG1aMUxqLVZmY09BTzRtSmNvai0ybXpaUTJacUJVQm9CT01JcnliNXphbnV5dWVfYXRfaE9EUTN3dU5rbGd5YTAzX3pYY1U0UWR0YWc4QUdJT1dYZmdBeVdpdTJyLVg4a3JiZDluMTZMYi0yMlk1M09VdWQxYmd1ZkVJ0gGyAUFVX3lxTE5lSzZWN1pFZTU2WU43M29USnFwM3c5V0RVSkR5WDU4ZXNhalZKYVlUdDdsaGUyY3FrTG93eGNpazdRMkRsLTM2U0kwYTcxbVU5VnNsRUNxLVk4SVdCX0ItRGNnOVN5Y2ozeXNQSTZ2OFVqRUtKbkdobk11OVIyTDd2WE1mc3dRX2xkMzFJTjREU0FqS2JWaVpTMF9YdWVhWkV6SDlzOWM4U2VYV0drZUhNeXc?oc=5,CBS News,Denver,CO,39.762,-104.8758,Denver,0.9
news,Thousands of Protesters March Through Downtown Chicago - The New York Times,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE1jOHQxUElfOXU1WWplQUZFWEo1ZG5VTm43VmZuenRJZDdRRExwXzZKWWJnRDBiX1N5TmdsTzJlYU50eWJYYzY4eWdSYkkyOEpMLWNxd05zSmc0OXVpUkhRbnZBRHhKaTYxV0FFT3RYeW1jVjlCcGdoc1VjZw?oc=5"" target=""_blank"">Thousands of Protesters March Through Downtown Chicago</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>","Wed, 11 Jun 2025 01:13:58 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTE1jOHQxUElfOXU1WWplQUZFWEo1ZG5VTm43VmZuenRJZDdRRExwXzZKWWJnRDBiX1N5TmdsTzJlYU50eWJYYzY4eWdSYkkyOEpMLWNxd05zSmc0OXVpUkhRbnZBRHhKaTYxV0FFT3RYeW1jVjlCcGdoc1VjZw?oc=5,The New York Times,Chicago,IL,41.8375,-87.6866,Cook,0.9
news,"Immigration protest closes numerous Chicago streets, vehicle drives toward crowd - NBC 5 Chicago","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPLUMtMUlQTlRQbDVyTXNsN2xGb1dMaDRERHN0aVR6MFhYNV8wdjRvYlpJSzFDTXprcy0waDRJTzlpcU9JejUtZURnRG1PV1c4eUZyTEo2TWV5Y3NDR0JPY2ZJSmVNSHM2ckVweFpGdHV2cTJYUU40ZHhqSVF3NzVfMVAwRG1mem0zMEVBWjF3SzJtTU9WTDlfRF9SMDFUcGdiMFdKT1o2YXAzQWRueDhVWjlRZDFLdl9OOTFpbjNR0gHGAUFVX3lxTE1oZ1ItNGFmdExnWUpmOG1uVmtoQW0yTlRYaHMyblQtQU1XZS1GemVPZlREZFgyVzNUZEdkOGJkZVRGVERQTzVoQjY4VFBoZjRhUXllXy04MG1iMGdQSmc0TkU3emtwenFhd0dGMW52cm5hMFhLMi1TQWZSMkJubi1pMEdWZWZtYUw3SHVLUmNKODB4Y3lMbktta0Z6WHhRZ1NQcV82XzRxSzNwZWZNM2szWV94ZDQwRExRLXBodDhyTG4yRkFqUQ?oc=5"" target=""_blank"">Immigration protest closes numerous Chicago streets, vehicle drives toward crowd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC 5 Chicago</font>","Tue, 10 Jun 2025 21:47:33 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxPLUMtMUlQTlRQbDVyTXNsN2xGb1dMaDRERHN0aVR6MFhYNV8wdjRvYlpJSzFDTXprcy0waDRJTzlpcU9JejUtZURnRG1PV1c4eUZyTEo2TWV5Y3NDR0JPY2ZJSmVNSHM2ckVweFpGdHV2cTJYUU40ZHhqSVF3NzVfMVAwRG1mem0zMEVBWjF3SzJtTU9WTDlfRF9SMDFUcGdiMFdKT1o2YXAzQWRueDhVWjlRZDFLdl9OOTFpbjNR0gHGAUFVX3lxTE1oZ1ItNGFmdExnWUpmOG1uVmtoQW0yTlRYaHMyblQtQU1XZS1GemVPZlREZFgyVzNUZEdkOGJkZVRGVERQTzVoQjY4VFBoZjRhUXllXy04MG1iMGdQSmc0TkU3emtwenFhd0dGMW52cm5hMFhLMi1TQWZSMkJubi1pMEdWZWZtYUw3SHVLUmNKODB4Y3lMbktta0Z6WHhRZ1NQcV82XzRxSzNwZWZNM2szWV94ZDQwRExRLXBodDhyTG4yRkFqUQ?oc=5,NBC 5 Chicago,Chicago,IL,41.8375,-87.6866,Cook,0.9
news,"72 hours in LA: Immigration sweeps, protests and a historic National Guard deployment - CalMatters","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxQWnhJV19ZRDROTFFqUkVqTm5UY0laYy1EbDNVdEF0cVRobV9oR0dXcUU3WUlLbE1CTGdFYnp1UVo2b0s3Y1dHcWNNNmZzXzRPbngyREd4ck90THA3dkc5U1R3M3BsTWdRZ2M3c1JYZ3c3UnBSSG5Qc1FoSDZDM2FIQQ?oc=5"" target=""_blank"">72 hours in LA: Immigration sweeps, protests and a historic National Guard deployment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CalMatters</font>","Tue, 10 Jun 2025 12:30:00 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxQWnhJV19ZRDROTFFqUkVqTm5UY0laYy1EbDNVdEF0cVRobV9oR0dXcUU3WUlLbE1CTGdFYnp1UVo2b0s3Y1dHcWNNNmZzXzRPbngyREd4ck90THA3dkc5U1R3M3BsTWdRZ2M3c1JYZ3c3UnBSSG5Qc1FoSDZDM2FIQQ?oc=5,CalMatters,,,,,,0.3
news,"Kansas City residents protest ICE raids, following demonstrations and arrests in Los Angeles - KCUR","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxPSm1FV1lHcHNsVmc1RlV4NWIzOU1sSXVodjZwRS1Xb0hrRm1jOHgxdndYZ0tMdHo2Qi16NGN6QlB4bnFnSm1IbmVWVlpSVWVYVkVaZ1Exc213alprU0hKaXpPTm1FbXZyaGU2R2gzM0UzcjNWa19KSWxXMXczYUUzQjRnTUZjQQ?oc=5"" target=""_blank"">Kansas City residents protest ICE raids, following demonstrations and arrests in Los Angeles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCUR</font>","Wed, 11 Jun 2025 01:10:00 GMT",https://news.google.com/rss/articles/CBMihgFBVV95cUxPSm1FV1lHcHNsVmc1RlV4NWIzOU1sSXVodjZwRS1Xb0hrRm1jOHgxdndYZ0tMdHo2Qi16NGN6QlB4bnFnSm1IbmVWVlpSVWVYVkVaZ1Exc213alprU0hKaXpPTm1FbXZyaGU2R2gzM0UzcjNWa19KSWxXMXczYUUzQjRnTUZjQQ?oc=5,KCUR,Kansas City,MO,39.1238,-94.5541,Jackson,0.9
news,Here's where anti-Trump protests are happening in the San Antonio area - Axios,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPelNrRDZTc1JteFNIVW9iWnhybEdxZEVNaHhiTzZtdlNDQ09RSGtCMG1faVA1OUY1eVhmZGdKdS1fcXdrSThEdjhaNEtVNl9xUG0ydlY0SzNjNFRmN295Nnh4dVF0cFpwdXhxY1Z2UjBVemUzdjlxbGRldHZGNDZqRWZ0TlVUY3ZzelJ1d0NQTjk1akU?oc=5"" target=""_blank"">Here's where anti-Trump protests are happening in the San Antonio area</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>","Tue, 10 Jun 2025 22:03:47 GMT",https://news.google.com/rss/articles/CBMikwFBVV95cUxPelNrRDZTc1JteFNIVW9iWnhybEdxZEVNaHhiTzZtdlNDQ09RSGtCMG1faVA1OUY1eVhmZGdKdS1fcXdrSThEdjhaNEtVNl9xUG0ydlY0SzNjNFRmN295Nnh4dVF0cFpwdXhxY1Z2UjBVemUzdjlxbGRldHZGNDZqRWZ0TlVUY3ZzelJ1d0NQTjk1akU?oc=5,Axios,San Antonio,TX,29.4632,-98.5238,Bexar,0.9
news,"Trump wants a federal protest crackdown – or, at least, the illusion of one - CNN","<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE1pSUl1N01FOHQxb1dXc2EtcVBCUGNmWkljajQ1NkRSQUYxZHN4cWQyd3ZrYTNDck43U1d4ZHR6VDBDZENQbzV2dWVRdjVsXzhuRWR2c1VaYm8zMkJQS29IRXRVYTc1NHdmMVlqaTNSUnZiNC1Z0gF6QVVfeXFMUFdOQmtUSVB4X0N5eEZKZ19SSDlXQkt6VEZxbnNOVWNBYVNsaXhuRWdIRGQyODZUZUpudXU3SHR5RXhpTms3Y0pJWTlCVU9qbk8xcXNqeHNlNHJwVHVtNVRFNVhxbXc5XzR3N1ZLY213NTVYNloyTkFsdnc?oc=5"" target=""_blank"">Trump wants a federal protest crackdown – or, at least, the illusion of one</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>","Tue, 10 Jun 2025 22:22:00 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTE1pSUl1N01FOHQxb1dXc2EtcVBCUGNmWkljajQ1NkRSQUYxZHN4cWQyd3ZrYTNDck43U1d4ZHR6VDBDZENQbzV2dWVRdjVsXzhuRWR2c1VaYm8zMkJQS29IRXRVYTc1NHdmMVlqaTNSUnZiNC1Z0gF6QVVfeXFMUFdOQmtUSVB4X0N5eEZKZ19SSDlXQkt6VEZxbnNOVWNBYVNsaXhuRWdIRGQyODZUZUpudXU3SHR5RXhpTms3Y0pJWTlCVU9qbk8xcXNqeHNlNHJwVHVtNVRFNVhxbXc5XzR3N1ZLY213NTVYNloyTkFsdnc?oc=5,CNN,,,,,,0.3
